p1; P 1
p2_12_12(bca); P2_12_12 (bca)
p2_12_12[bca]; P2_12_12 [bca]
p2_12_12_1; P 2_1 2_1 2_1
c222_1; C 2 2 2_1
a2_122; A 2_1 2 2
c222_1(cab); C222_1 (cab)
c222_1[cab]; C222_1 [cab]
b22_12; B 2 2_1 2
c222_1(bca); C222_1 (bca)
c222_1[bca]; C222_1 [bca]
c222; C 2 2 2
a222; A 2 2 2
c222(cab); C222 (cab)
c222[cab]; C222 [cab]
b222; B 2 2 2
c222(bca); C222 (bca)
c222[bca]; C222 [bca]
f222; F 2 2 2
i222; I 2 2 2
i2_12_12_1; I 2_1 2_1 2_1
pmm2; P m m 2
p2mm; P 2 m m
pmm2(cab); Pmm2 (cab)
pmm2[cab]; Pmm2 [cab]
pm2m; P m 2 m
pmm2(bca); Pmm2 (bca)
pmm2[bca]; Pmm2 [bca]
pmc2_1; P m c 2_1
pcm2_1; P c m 2_1
pmc2_1(ba-c); Pmc2_1 (ba-c)
pmc2_1[ba-c]; Pmc2_1 [ba-c]
p2_1ma; P 2_1 m a
pmc2_1(cab); Pmc2_1 (cab)
pmc2_1[cab]; Pmc2_1 [cab]
p2_1am; P 2_1 a m
pmc2_1(-cba); Pmc2_1 (-cba)
pmc2_1[-cba]; Pmc2_1 [-cba]
pb2_1m; P b 2_1 m
pmc2_1(bca); Pmc2_1 (bca)
pmc2_1[bca]; Pmc2_1 [bca]
pm2_1b; P m 2_1 b
pmc2_1(a-cb); Pmc2_1 (a-cb)
pmc2_1[a-cb]; Pmc2_1 [a-cb]
pcc2; P c c 2
p2aa; P 2 a a
pcc2(cab); Pcc2 (cab)
pcc2[cab]; Pcc2 [cab]
pb2b; P b 2 b
pcc2(bca); Pcc2 (bca)
pcc2[bca]; Pcc2 [bca]
pma2; P m a 2
pbm2; P b m 2
pma2(ba-c); Pma2 (ba-c)
pma2[ba-c]; Pma2 [ba-c]
p2mb; P 2 m b
pma2(cab); Pma2 (cab)
pma2[cab]; Pma2 [cab]
p2cm; P 2 c m
pma2(-cba); Pma2 (-cba)
pma2[-cba]; Pma2 [-cba]
pc2m; P c 2 m
pma2(bca); Pma2 (bca)
pma2[bca]; Pma2 [bca]
pm2a; P m 2 a
pma2(a-cb); Pma2 (a-cb)
pma2[a-cb]; Pma2 [a-cb]
pca2_1; P c a 2_1
pbc2_1; P b c 2_1
pca2_1(ba-c); Pca2_1 (ba-c)
pca2_1[ba-c]; Pca2_1 [ba-c]
p2_1ab; P 2_1 a b
pca2_1(cab); Pca2_1 (cab)
pca2_1[cab]; Pca2_1 [cab]
p2_1ca; P 2_1 c a
pca2_1(-cba); Pca2_1 (-cba)
pca2_1[-cba]; Pca2_1 [-cba]
pc2_1b; P c 2_1 b
pca2_1(bca); Pca2_1 (bca)
pca2_1[bca]; Pca2_1 [bca]
pb2_1a; P b 2_1 a
pca2_1(a-cb); Pca2_1 (a-cb)
pca2_1[a-cb]; Pca2_1 [a-cb]
pnc2; P n c 2
pcn2; P c n 2
pnc2(ba-c); Pnc2 (ba-c)
pnc2[ba-c]; Pnc2 [ba-c]
p2na; P 2 n a
pnc2(cab); Pnc2 (cab)
pnc2[cab]; Pnc2 [cab]
p2an; P 2 a n
pnc2(-cba); Pnc2 (-cba)
pnc2[-cba]; Pnc2 [-cba]
pb2n; P b 2 n
pnc2(bca); Pnc2 (bca)
pnc2[bca]; Pnc2 [bca]
pn2b; P n 2 b
pnc2(a-cb); Pnc2 (a-cb)
pnc2[a-cb]; Pnc2 [a-cb]
pmn2_1; P m n 2_1
