MSG_BNS_num  MSG_UNI_symb                   MSG_magHall_symb        MSG_generators
100.178      P4bm.1'_I[I4cm]                P 4 -2ab 1'I            (-y,x,z);(-x+1/2,y+1/2,z);(y+1/2,x+1/2,z);(x+1/2,y+1/2,z+1/2)'
101.179      P4_2cm.1                       P 4c -2c                (-y,x,z+1/2);(-x,y,z+1/2);(y,x,z)
101.180      P4_2cm.1'                      P 4c -2c 1'             (-y,x,z+1/2);(-x,y,z+1/2);(y,x,z);(x,y,z)'
101.181      P4_2'c'm                       P 4c' -2c'              (-y,x,z+1/2)';(-x,y,z+1/2)';(y,x,z)
101.182      P4_2'cm'                       P 4c' -2c               (-y,x,z+1/2)';(-x,y,z+1/2);(y,x,z)'
101.183      P4_2c'm'                       P 4c -2c'               (-y,x,z+1/2);(-x,y,z+1/2)';(y,x,z)'
101.184      P4_2cm.1'_c[P4mm]              P 4c -2c 1'c            (-y,x,z+1/2);(-x,y,z+1/2);(y,x,z);(x,y,z+1/2)'
101.185      P4_2cm.1'_C[rP4_2mc]           P 4c -2c 1'C            (-y,x,z+1/2);(-x,y,z+1/2);(y,x,z);(x+1/2,y+1/2,z)'
101.186      P4_2cm.1'_I[I4cm]              P 4c -2c 1'I            (-y,x,z+1/2);(-x,y,z+1/2);(y,x,z);(x+1/2,y+1/2,z+1/2)'
102.187      P4_2nm.1                       P 4n -2n                (-y+1/2,x+1/2,z+1/2);(-x+1/2,y+1/2,z+1/2);(y,x,z)
102.188      P4_2nm.1'                      P 4n -2n 1'             (-y+1/2,x+1/2,z+1/2);(-x+1/2,y+1/2,z+1/2);(y,x,z);(x,y,z)'
102.189      P4_2'n'm                       P 4n' -2n'              (-y+1/2,x+1/2,z+1/2)';(-x+1/2,y+1/2,z+1/2)';(y,x,z)
102.190      P4_2'nm'                       P 4n' -2n               (-y+1/2,x+1/2,z+1/2)';(-x+1/2,y+1/2,z+1/2);(y,x,z)'
102.191      P4_2n'm'                       P 4n -2n'               (-y+1/2,x+1/2,z+1/2);(-x+1/2,y+1/2,z+1/2)';(y,x,z)'
102.192      P4_2nm.1'_c[P4bm]              P 4n -2n 1'c            (-y+1/2,x+1/2,z+1/2);(-x+1/2,y+1/2,z+1/2);(y,x,z);(x,y,z+1/2)'
102.193      P4_2nm.1'_C[rP4_2mc]           P 4n -2n 1'C            (-y+1/2,x+1/2,z+1/2);(-x+1/2,y+1/2,z+1/2);(y,x,z);(x+1/2,y+1/2,z)'
102.194      P4_2nm.1'_I[I4mm]              P 4n -2n 1'I            (-y+1/2,x+1/2,z+1/2);(-x+1/2,y+1/2,z+1/2);(y,x,z);(x+1/2,y+1/2,z+1/2)'
103.195      P4cc.1                         P 4 -2c                 (-y,x,z);(-x,y,z+1/2);(y,x,z+1/2)
103.196      P4cc.1'                        P 4 -2c 1'              (-y,x,z);(-x,y,z+1/2);(y,x,z+1/2);(x,y,z)'
103.197      P4'c'c                         P 4' -2c'               (-y,x,z)';(-x,y,z+1/2)';(y,x,z+1/2)
103.198      P4'cc'                         P 4' -2c                (-y,x,z)';(-x,y,z+1/2);(y,x,z+1/2)'
103.199      P4c'c'                         P 4 -2c'                (-y,x,z);(-x,y,z+1/2)';(y,x,z+1/2)'
103.200      P4cc.1'_c[P4mm]                P 4 -2c 1'c             (-y,x,z);(-x,y,z+1/2);(y,x,z+1/2);(x,y,z+1/2)'
103.201      P4cc.1'_C[rP4cc]               P 4 -2c 1'C             (-y,x,z);(-x,y,z+1/2);(y,x,z+1/2);(x+1/2,y+1/2,z)'
103.202      P4cc.1'_I[I4cm]                P 4 -2c 1'I             (-y,x,z);(-x,y,z+1/2);(y,x,z+1/2);(x+1/2,y+1/2,z+1/2)'
104.203      P4nc.1                         P 4 -2n                 (-y,x,z);(-x+1/2,y+1/2,z+1/2);(y+1/2,x+1/2,z+1/2)
104.204      P4nc.1'                        P 4 -2n 1'              (-y,x,z);(-x+1/2,y+1/2,z+1/2);(y+1/2,x+1/2,z+1/2);(x,y,z)'
104.205      P4'n'c                         P 4' -2n'               (-y,x,z)';(-x+1/2,y+1/2,z+1/2)';(y+1/2,x+1/2,z+1/2)
104.206      P4'nc'                         P 4' -2n                (-y,x,z)';(-x+1/2,y+1/2,z+1/2);(y+1/2,x+1/2,z+1/2)'
104.207      P4n'c'                         P 4 -2n'                (-y,x,z);(-x+1/2,y+1/2,z+1/2)';(y+1/2,x+1/2,z+1/2)'
104.208      P4nc.1'_c[P4bm]                P 4 -2n 1'c             (-y,x,z);(-x+1/2,y+1/2,z+1/2);(y+1/2,x+1/2,z+1/2);(x,y,z+1/2)'
104.209      P4nc.1'_C[rP4cc]               P 4 -2n 1'C             (-y,x,z);(-x+1/2,y+1/2,z+1/2);(y+1/2,x+1/2,z+1/2);(x+1/2,y+1/2,z)'
104.210      P4nc.1'_I[I4mm]                P 4 -2n 1'I             (-y,x,z);(-x+1/2,y+1/2,z+1/2);(y+1/2,x+1/2,z+1/2);(x+1/2,y+1/2,z+1/2)'
105.211      P4_2mc.1                       P 4c -2                 (-y,x,z+1/2);(-x,y,z);(y,x,z+1/2)
105.212      P4_2mc.1'                      P 4c -2 1'              (-y,x,z+1/2);(-x,y,z);(y,x,z+1/2);(x,y,z)'
105.213      P4_2'm'c                       P 4c' -2'               (-y,x,z+1/2)';(-x,y,z)';(y,x,z+1/2)
105.214      P4_2'mc'                       P 4c' -2                (-y,x,z+1/2)';(-x,y,z);(y,x,z+1/2)'
105.215      P4_2m'c'                       P 4c -2'                (-y,x,z+1/2);(-x,y,z)';(y,x,z+1/2)'
105.216      P4_2mc.1'_c[P4mm]              P 4c -2 1'c             (-y,x,z+1/2);(-x,y,z);(y,x,z+1/2);(x,y,z+1/2)'
105.217      P4_2mc.1'_C[rP4_2cm]           P 4c -2 1'C             (-y,x,z+1/2);(-x,y,z);(y,x,z+1/2);(x+1/2,y+1/2,z)'
105.218      P4_2mc.1'_I[I4mm]              P 4c -2 1'I             (-y,x,z+1/2);(-x,y,z);(y,x,z+1/2);(x+1/2,y+1/2,z+1/2)'
106.219      P4_2bc.1                       P 4c -2ab               (-y,x,z+1/2);(-x+1/2,y+1/2,z);(y+1/2,x+1/2,z+1/2)
106.220      P4_2bc.1'                      P 4c -2ab 1'            (-y,x,z+1/2);(-x+1/2,y+1/2,z);(y+1/2,x+1/2,z+1/2);(x,y,z)'
106.221      P4_2'b'c                       P 4c' -2ab'             (-y,x,z+1/2)';(-x+1/2,y+1/2,z)';(y+1/2,x+1/2,z+1/2)
106.222      P4_2'bc'                       P 4c' -2ab              (-y,x,z+1/2)';(-x+1/2,y+1/2,z);(y+1/2,x+1/2,z+1/2)'
106.223      P4_2b'c'                       P 4c -2ab'              (-y,x,z+1/2);(-x+1/2,y+1/2,z)';(y+1/2,x+1/2,z+1/2)'
106.224      P4_2bc.1'_c[P4bm]              P 4c -2ab 1'c           (-y,x,z+1/2);(-x+1/2,y+1/2,z);(y+1/2,x+1/2,z+1/2);(x,y,z+1/2)'
106.225      P4_2bc.1'_C[rP4_2cm]           P 4c -2ab 1'C           (-y,x,z+1/2);(-x+1/2,y+1/2,z);(y+1/2,x+1/2,z+1/2);(x+1/2,y+1/2,z)'
106.226      P4_2bc.1'_I[I4cm]              P 4c -2ab 1'I           (-y,x,z+1/2);(-x+1/2,y+1/2,z);(y+1/2,x+1/2,z+1/2);(x+1/2,y+1/2,z+1/2)'
107.227      I4mm.1                         I 4 -2                  (x+1/2,y+1/2,z+1/2);(-y,x,z);(-x,y,z);(y,x,z)
107.228      I4mm.1'                        I 4 -2 1'               (x+1/2,y+1/2,z+1/2);(-y,x,z);(-x,y,z);(y,x,z);(x,y,z)'
107.229      I4'm'm                         I 4' -2'                (x+1/2,y+1/2,z+1/2);(-y,x,z)';(-x,y,z)';(y,x,z)
107.230      I4'mm'                         I 4' -2                 (x+1/2,y+1/2,z+1/2);(-y,x,z)';(-x,y,z);(y,x,z)'
107.231      I4m'm'                         I 4 -2'                 (x+1/2,y+1/2,z+1/2);(-y,x,z);(-x,y,z)';(y,x,z)'
107.232      I4mm.1'_c[rP4mm]               I 4 -2 1'c              (x+1/2,y+1/2,z+1/2);(-y,x,z);(-x,y,z);(y,x,z);(x,y,z+1/2)'
108.233      I4cm.1                         I 4 -2c                 (x+1/2,y+1/2,z+1/2);(-y,x,z);(-x,y,z+1/2);(y,x,z+1/2)
108.234      I4cm.1'                        I 4 -2c 1'              (x+1/2,y+1/2,z+1/2);(-y,x,z);(-x,y,z+1/2);(y,x,z+1/2);(x,y,z)'
108.235      I4'c'm                         I 4' -2c'               (x+1/2,y+1/2,z+1/2);(-y,x,z)';(-x,y,z+1/2)';(y,x,z+1/2)
108.236      I4'cm'                         I 4' -2c                (x+1/2,y+1/2,z+1/2);(-y,x,z)';(-x,y,z+1/2);(y,x,z+1/2)'
108.237      I4c'm'                         I 4 -2c'                (x+1/2,y+1/2,z+1/2);(-y,x,z);(-x,y,z+1/2)';(y,x,z+1/2)'
108.238      I4cm.1'_c[rP4mm]               I 4 -2c 1'c             (x+1/2,y+1/2,z+1/2);(-y,x,z);(-x,y,z+1/2);(y,x,z+1/2);(x,y,z+1/2)'
109.239      I4_1md.1                       I 4bw -2                (x+1/2,y+1/2,z+1/2);(-y,x+1/2,z+1/4);(-x,y,z);(y,x+1/2,z+1/4)
109.240      I4_1md.1'                      I 4bw -2 1'             (x+1/2,y+1/2,z+1/2);(-y,x+1/2,z+1/4);(-x,y,z);(y,x+1/2,z+1/4);(x,y,z)'
109.241      I4_1'm'd                       I 4bw' -2'              (x+1/2,y+1/2,z+1/2);(-y,x+1/2,z+1/4)';(-x,y,z)';(y,x+1/2,z+1/4)
109.242      I4_1'md'                       I 4bw' -2               (x+1/2,y+1/2,z+1/2);(-y,x+1/2,z+1/4)';(-x,y,z);(y,x+1/2,z+1/4)'
109.243      I4_1m'd'                       I 4bw -2'               (x+1/2,y+1/2,z+1/2);(-y,x+1/2,z+1/4);(-x,y,z)';(y,x+1/2,z+1/4)'
109.244      I4_1md.1'_c[rP4_2nm]           I 4bw -2 1'c            (x+1/2,y+1/2,z+1/2);(-y,x+1/2,z+1/4);(-x,y,z);(y,x+1/2,z+1/4);(x,y,z+1/2)'
110.245      I4_1cd.1                       I 4bw -2c               (x+1/2,y+1/2,z+1/2);(-y,x+1/2,z+1/4);(-x,y,z+1/2);(y+1/2,x,z+1/4)
110.246      I4_1cd.1'                      I 4bw -2c 1'            (x+1/2,y+1/2,z+1/2);(-y,x+1/2,z+1/4);(-x,y,z+1/2);(y+1/2,x,z+1/4);(x,y,z)'
110.247      I4_1'c'd                       I 4bw' -2c'             (x+1/2,y+1/2,z+1/2);(-y,x+1/2,z+1/4)';(-x,y,z+1/2)';(y+1/2,x,z+1/4)
110.248      I4_1'cd'                       I 4bw' -2c              (x+1/2,y+1/2,z+1/2);(-y,x+1/2,z+1/4)';(-x,y,z+1/2);(y+1/2,x,z+1/4)'
110.249      I4_1c'd'                       I 4bw -2c'              (x+1/2,y+1/2,z+1/2);(-y,x+1/2,z+1/4);(-x,y,z+1/2)';(y+1/2,x,z+1/4)'
110.250      I4_1cd.1'_c[rP4_2nm]           I 4bw -2c 1'c           (x+1/2,y+1/2,z+1/2);(-y,x+1/2,z+1/4);(-x,y,z+1/2);(y+1/2,x,z+1/4);(x,y,z+1/2)'
111.251      P-42m.1                        P -4 2                  (y,-x,-z);(x,-y,-z);(y,x,z)
111.252      P-42m.1'                       P -4 2 1'               (y,-x,-z);(x,-y,-z);(y,x,z);(x,y,z)'
111.253      P-4'2'm                        P -4' 2'                (y,-x,-z)';(x,-y,-z)';(y,x,z)
111.254      P-4'2m'                        P -4' 2                 (y,-x,-z)';(x,-y,-z);(y,x,z)'
111.255      P-42'm'                        P -4 2'                 (y,-x,-z);(x,-y,-z)';(y,x,z)'
111.256      P-42m.1'_c[P-42m]              P -4 2 1'c              (y,-x,-z);(x,-y,-z);(y,x,z);(x,y,z+1/2)'
111.257      P-42m.1'_C[rP-4m2]             P -4 2 1'C              (y,-x,-z);(x,-y,-z);(y,x,z);(x+1/2,y+1/2,z)'
111.258      P-42m.1'_I[I-42m]              P -4 2 1'I              (y,-x,-z);(x,-y,-z);(y,x,z);(x+1/2,y+1/2,z+1/2)'
112.259      P-42c.1                        P -4 2c                 (y,-x,-z);(x,-y,-z+1/2);(y,x,z+1/2)
112.260      P-42c.1'                       P -4 2c 1'              (y,-x,-z);(x,-y,-z+1/2);(y,x,z+1/2);(x,y,z)'
112.261      P-4'2'c                        P -4' 2c'               (y,-x,-z)';(x,-y,-z+1/2)';(y,x,z+1/2)
112.262      P-4'2c'                        P -4' 2c                (y,-x,-z)';(x,-y,-z+1/2);(y,x,z+1/2)'
112.263      P-42'c'                        P -4 2c'                (y,-x,-z);(x,-y,-z+1/2)';(y,x,z+1/2)'
112.264      P-42c.1'_c[P-42m]              P -4 2c 1'c             (y,-x,-z);(x,-y,-z+1/2);(y,x,z+1/2);(x,y,z+1/2)'
112.265      P-42c.1'_C[rP-4c2]             P -4 2c 1'C             (y,-x,-z);(x,-y,-z+1/2);(y,x,z+1/2);(x+1/2,y+1/2,z)'
112.266      P-42c.1'_I[I-42m]              P -4 2c 1'I             (y,-x,-z);(x,-y,-z+1/2);(y,x,z+1/2);(x+1/2,y+1/2,z+1/2)'
113.267      P-42_1m.1                      P -4 2ab                (y,-x,-z);(x+1/2,-y+1/2,-z);(y+1/2,x+1/2,z)
113.268      P-42_1m.1'                     P -4 2ab 1'             (y,-x,-z);(x+1/2,-y+1/2,-z);(y+1/2,x+1/2,z);(x,y,z)'
113.269      P-4'2_1'm                      P -4' 2ab'              (y,-x,-z)';(x+1/2,-y+1/2,-z)';(y+1/2,x+1/2,z)
113.270      P-4'2_1m'                      P -4' 2ab               (y,-x,-z)';(x+1/2,-y+1/2,-z);(y+1/2,x+1/2,z)'
113.271      P-42_1'm'                      P -4 2ab'               (y,-x,-z);(x+1/2,-y+1/2,-z)';(y+1/2,x+1/2,z)'
113.272      P-42_1m.1'_c[P-42_1m]          P -4 2ab 1'c            (y,-x,-z);(x+1/2,-y+1/2,-z);(y+1/2,x+1/2,z);(x,y,z+1/2)'
113.273      P-42_1m.1'_C[rP-4m2]           P -4 2ab 1'C            (y,-x,-z);(x+1/2,-y+1/2,-z);(y+1/2,x+1/2,z);(x+1/2,y+1/2,z)'
113.274      P-42_1m.1'_I[I-42m]            P -4 2ab 1'I            (y,-x,-z);(x+1/2,-y+1/2,-z);(y+1/2,x+1/2,z);(x+1/2,y+1/2,z+1/2)'
114.275      P-42_1c.1                      P -4 2n                 (y,-x,-z);(x+1/2,-y+1/2,-z+1/2);(y+1/2,x+1/2,z+1/2)
114.276      P-42_1c.1'                     P -4 2n 1'              (y,-x,-z);(x+1/2,-y+1/2,-z+1/2);(y+1/2,x+1/2,z+1/2);(x,y,z)'
114.277      P-4'2_1'c                      P -4' 2n'               (y,-x,-z)';(x+1/2,-y+1/2,-z+1/2)';(y+1/2,x+1/2,z+1/2)
114.278      P-4'2_1c'                      P -4' 2n                (y,-x,-z)';(x+1/2,-y+1/2,-z+1/2);(y+1/2,x+1/2,z+1/2)'
114.279      P-42_1'c'                      P -4 2n'                (y,-x,-z);(x+1/2,-y+1/2,-z+1/2)';(y+1/2,x+1/2,z+1/2)'
114.280      P-42_1c.1'_c[P-42_1m]          P -4 2n 1'c             (y,-x,-z);(x+1/2,-y+1/2,-z+1/2);(y+1/2,x+1/2,z+1/2);(x,y,z+1/2)'
114.281      P-42_1c.1'_C[rP-4c2]           P -4 2n 1'C             (y,-x,-z);(x+1/2,-y+1/2,-z+1/2);(y+1/2,x+1/2,z+1/2);(x+1/2,y+1/2,z)'
114.282      P-42_1c.1'_I[I-42m]            P -4 2n 1'I             (y,-x,-z);(x+1/2,-y+1/2,-z+1/2);(y+1/2,x+1/2,z+1/2);(x+1/2,y+1/2,z+1/2)'
115.283      P-4m2.1                        P -4 -2                 (y,-x,-z);(-x,y,z);(-y,-x,-z)
115.284      P-4m2.1'                       P -4 -2 1'              (y,-x,-z);(-x,y,z);(-y,-x,-z);(x,y,z)'
115.285      P-4'm'2                        P -4' -2'               (y,-x,-z)';(-x,y,z)';(-y,-x,-z)
115.286      P-4'm2'                        P -4' -2                (y,-x,-z)';(-x,y,z);(-y,-x,-z)'
115.287      P-4m'2'                        P -4 -2'                (y,-x,-z);(-x,y,z)';(-y,-x,-z)'
115.288      P-4m2.1'_c[P-4m2]              P -4 -2 1'c             (y,-x,-z);(-x,y,z);(-y,-x,-z);(x,y,z+1/2)'
115.289      P-4m2.1'_C[rP-42m]             P -4 -2 1'C             (y,-x,-z);(-x,y,z);(-y,-x,-z);(x+1/2,y+1/2,z)'
115.290      P-4m2.1'_I[I-4m2]              P -4 -2 1'I             (y,-x,-z);(-x,y,z);(-y,-x,-z);(x+1/2,y+1/2,z+1/2)'
116.291      P-4c2.1                        P -4 -2c                (y,-x,-z);(-x,y,z+1/2);(-y,-x,-z+1/2)
116.292      P-4c2.1'                       P -4 -2c 1'             (y,-x,-z);(-x,y,z+1/2);(-y,-x,-z+1/2);(x,y,z)'
116.293      P-4'c'2                        P -4' -2c'              (y,-x,-z)';(-x,y,z+1/2)';(-y,-x,-z+1/2)
116.294      P-4'c2'                        P -4' -2c               (y,-x,-z)';(-x,y,z+1/2);(-y,-x,-z+1/2)'
116.295      P-4c'2'                        P -4 -2c'               (y,-x,-z);(-x,y,z+1/2)';(-y,-x,-z+1/2)'
116.296      P-4c2.1'_c[P-4m2]              P -4 -2c 1'c            (y,-x,-z);(-x,y,z+1/2);(-y,-x,-z+1/2);(x,y,z+1/2)'
116.297      P-4c2.1'_C[rP-42c]             P -4 -2c 1'C            (y,-x,-z);(-x,y,z+1/2);(-y,-x,-z+1/2);(x+1/2,y+1/2,z)'
116.298      P-4c2.1'_I[I-4c2]              P -4 -2c 1'I            (y,-x,-z);(-x,y,z+1/2);(-y,-x,-z+1/2);(x+1/2,y+1/2,z+1/2)'
117.299      P-4b2.1                        P -4 -2ab               (y,-x,-z);(-x+1/2,y+1/2,z);(-y+1/2,-x+1/2,-z)
117.300      P-4b2.1'                       P -4 -2ab 1'            (y,-x,-z);(-x+1/2,y+1/2,z);(-y+1/2,-x+1/2,-z);(x,y,z)'
117.301      P-4'b'2                        P -4' -2ab'             (y,-x,-z)';(-x+1/2,y+1/2,z)';(-y+1/2,-x+1/2,-z)
117.302      P-4'b2'                        P -4' -2ab              (y,-x,-z)';(-x+1/2,y+1/2,z);(-y+1/2,-x+1/2,-z)'
117.303      P-4b'2'                        P -4 -2ab'              (y,-x,-z);(-x+1/2,y+1/2,z)';(-y+1/2,-x+1/2,-z)'
117.304      P-4b2.1'_c[P-4b2]              P -4 -2ab 1'c           (y,-x,-z);(-x+1/2,y+1/2,z);(-y+1/2,-x+1/2,-z);(x,y,z+1/2)'
117.305      P-4b2.1'_C[rP-42m]             P -4 -2ab 1'C           (y,-x,-z);(-x+1/2,y+1/2,z);(-y+1/2,-x+1/2,-z);(x+1/2,y+1/2,z)'
117.306      P-4b2.1'_I[I-4c2]              P -4 -2ab 1'I           (y,-x,-z);(-x+1/2,y+1/2,z);(-y+1/2,-x+1/2,-z);(x+1/2,y+1/2,z+1/2)'
118.307      P-4n2.1                        P -4 -2n                (y,-x,-z);(-x+1/2,y+1/2,z+1/2);(-y+1/2,-x+1/2,-z+1/2)
118.308      P-4n2.1'                       P -4 -2n 1'             (y,-x,-z);(-x+1/2,y+1/2,z+1/2);(-y+1/2,-x+1/2,-z+1/2);(x,y,z)'
118.309      P-4'n'2                        P -4' -2n'              (y,-x,-z)';(-x+1/2,y+1/2,z+1/2)';(-y+1/2,-x+1/2,-z+1/2)
118.310      P-4'n2'                        P -4' -2n               (y,-x,-z)';(-x+1/2,y+1/2,z+1/2);(-y+1/2,-x+1/2,-z+1/2)'
118.311      P-4n'2'                        P -4 -2n'               (y,-x,-z);(-x+1/2,y+1/2,z+1/2)';(-y+1/2,-x+1/2,-z+1/2)'
118.312      P-4n2.1'_c[P-4b2]              P -4 -2n 1'c            (y,-x,-z);(-x+1/2,y+1/2,z+1/2);(-y+1/2,-x+1/2,-z+1/2);(x,y,z+1/2)'
118.313      P-4n2.1'_C[rP-42c]             P -4 -2n 1'C            (y,-x,-z);(-x+1/2,y+1/2,z+1/2);(-y+1/2,-x+1/2,-z+1/2);(x+1/2,y+1/2,z)'
118.314      P-4n2.1'_I[I-4m2]              P -4 -2n 1'I            (y,-x,-z);(-x+1/2,y+1/2,z+1/2);(-y+1/2,-x+1/2,-z+1/2);(x+1/2,y+1/2,z+1/2)'
119.315      I-4m2.1                        I -4 -2                 (x+1/2,y+1/2,z+1/2);(y,-x,-z);(-x,y,z);(-y,-x,-z)
119.316      I-4m2.1'                       I -4 -2 1'              (x+1/2,y+1/2,z+1/2);(y,-x,-z);(-x,y,z);(-y,-x,-z);(x,y,z)'
119.317      I-4'm'2                        I -4' -2'               (x+1/2,y+1/2,z+1/2);(y,-x,-z)';(-x,y,z)';(-y,-x,-z)
119.318      I-4'm2'                        I -4' -2                (x+1/2,y+1/2,z+1/2);(y,-x,-z)';(-x,y,z);(-y,-x,-z)'
119.319      I-4m'2'                        I -4 -2'                (x+1/2,y+1/2,z+1/2);(y,-x,-z);(-x,y,z)';(-y,-x,-z)'
119.320      I-4m2.1'_c[rP-42m]             I -4 -2 1'c             (x+1/2,y+1/2,z+1/2);(y,-x,-z);(-x,y,z);(-y,-x,-z);(x,y,z+1/2)'
120.321      I-4c2.1                        I -4 -2c                (x+1/2,y+1/2,z+1/2);(y,-x,-z);(-x,y,z+1/2);(-y,-x,-z+1/2)
120.322      I-4c2.1'                       I -4 -2c 1'             (x+1/2,y+1/2,z+1/2);(y,-x,-z);(-x,y,z+1/2);(-y,-x,-z+1/2);(x,y,z)'
120.323      I-4'c'2                        I -4' -2c'              (x+1/2,y+1/2,z+1/2);(y,-x,-z)';(-x,y,z+1/2)';(-y,-x,-z+1/2)
120.324      I-4'c2'                        I -4' -2c               (x+1/2,y+1/2,z+1/2);(y,-x,-z)';(-x,y,z+1/2);(-y,-x,-z+1/2)'
120.325      I-4c'2'                        I -4 -2c'               (x+1/2,y+1/2,z+1/2);(y,-x,-z);(-x,y,z+1/2)';(-y,-x,-z+1/2)'
120.326      I-4c2.1'_c[rP-42m]             I -4 -2c 1'c            (x+1/2,y+1/2,z+1/2);(y,-x,-z);(-x,y,z+1/2);(-y,-x,-z+1/2);(x,y,z+1/2)'
121.327      I-42m.1                        I -4 2                  (x+1/2,y+1/2,z+1/2);(y,-x,-z);(x,-y,-z);(y,x,z)
121.328      I-42m.1'                       I -4 2 1'               (x+1/2,y+1/2,z+1/2);(y,-x,-z);(x,-y,-z);(y,x,z);(x,y,z)'
121.329      I-4'2'm                        I -4' 2'                (x+1/2,y+1/2,z+1/2);(y,-x,-z)';(x,-y,-z)';(y,x,z)
121.330      I-4'2m'                        I -4' 2                 (x+1/2,y+1/2,z+1/2);(y,-x,-z)';(x,-y,-z);(y,x,z)'
121.331      I-42'm'                        I -4 2'                 (x+1/2,y+1/2,z+1/2);(y,-x,-z);(x,-y,-z)';(y,x,z)'
121.332      I-42m.1'_c[rP-4m2]             I -4 2 1'c              (x+1/2,y+1/2,z+1/2);(y,-x,-z);(x,-y,-z);(y,x,z);(x,y,z+1/2)'
122.333      I-42d.1                        I -4 2bw                (x+1/2,y+1/2,z+1/2);(y,-x,-z);(x,-y+1/2,-z+1/4);(y,x+1/2,z+1/4)
122.334      I-42d.1'                       I -4 2bw 1'             (x+1/2,y+1/2,z+1/2);(y,-x,-z);(x,-y+1/2,-z+1/4);(y,x+1/2,z+1/4);(x,y,z)'
122.335      I-4'2'd                        I -4' 2bw'              (x+1/2,y+1/2,z+1/2);(y,-x,-z)';(x,-y+1/2,-z+1/4)';(y,x+1/2,z+1/4)
122.336      I-4'2d'                        I -4' 2bw               (x+1/2,y+1/2,z+1/2);(y,-x,-z)';(x,-y+1/2,-z+1/4);(y,x+1/2,z+1/4)'
122.337      I-42'd'                        I -4 2bw'               (x+1/2,y+1/2,z+1/2);(y,-x,-z);(x,-y+1/2,-z+1/4)';(y,x+1/2,z+1/4)'
122.338      I-42d.1'_c[rP-4n2]             I -4 2bw 1'c            (x+1/2,y+1/2,z+1/2);(y,-x,-z);(x,-y+1/2,-z+1/4);(y,x+1/2,z+1/4);(x,y,z+1/2)'
123.339      P4/mmm.1                       -P 4 2                  (-y,x,z);(x,y,-z);(-x,y,z);(y,x,z)
123.340      P4/mmm.1'                      -P 4 2 1'               (-y,x,z);(x,y,-z);(-x,y,z);(y,x,z);(x,y,z)'
123.341      P4/m'mm                        P 4 2' -1'              (-y,x,z);(x,y,-z)';(-x,y,z);(y,x,z)
123.342      P4'/mm'm                       -P 4' 2'                (-y,x,z)';(x,y,-z);(-x,y,z)';(y,x,z)
123.343      P4'/mmm'                       -P 4' 2                 (-y,x,z)';(x,y,-z);(-x,y,z);(y,x,z)'
123.344      P4'/m'm'm                      P 4' 2 -1'              (-y,x,z)';(x,y,-z)';(-x,y,z)';(y,x,z)
123.345      P4/mm'm'                       -P 4 2'                 (-y,x,z);(x,y,-z);(-x,y,z)';(y,x,z)'
123.346      P4'/m'mm'                      P 4' 2' -1'             (-y,x,z)';(x,y,-z)';(-x,y,z);(y,x,z)'
123.347      P4/m'm'm'                      P 4 2 -1'               (-y,x,z);(x,y,-z)';(-x,y,z)';(y,x,z)'
123.348      P4/mmm.1'_c[P4/mmm]            -P 4 2 1'c              (-y,x,z);(x,y,-z);(-x,y,z);(y,x,z);(x,y,z+1/2)'
123.349      P4/mmm.1'_C[rP4/mmm]           -P 4 2 1'C              (-y,x,z);(x,y,-z);(-x,y,z);(y,x,z);(x+1/2,y+1/2,z)'
123.350      P4/mmm.1'_I[I4/mmm]            -P 4 2 1'I              (-y,x,z);(x,y,-z);(-x,y,z);(y,x,z);(x+1/2,y+1/2,z+1/2)'
124.351      P4/mcc.1                       -P 4 2c                 (-y,x,z);(x,y,-z);(-x,y,z+1/2);(y,x,z+1/2)
124.352      P4/mcc.1'                      -P 4 2c 1'              (-y,x,z);(x,y,-z);(-x,y,z+1/2);(y,x,z+1/2);(x,y,z)'
124.353      P4/m'cc                        P 4 2c' -1'             (-y,x,z);(x,y,-z)';(-x,y,z+1/2);(y,x,z+1/2)
124.354      P4'/mc'c                       -P 4' 2c'               (-y,x,z)';(x,y,-z);(-x,y,z+1/2)';(y,x,z+1/2)
124.355      P4'/mcc'                       -P 4' 2c                (-y,x,z)';(x,y,-z);(-x,y,z+1/2);(y,x,z+1/2)'
124.356      P4'/m'c'c                      P 4' 2c -1'             (-y,x,z)';(x,y,-z)';(-x,y,z+1/2)';(y,x,z+1/2)
124.357      P4/mc'c'                       -P 4 2c'                (-y,x,z);(x,y,-z);(-x,y,z+1/2)';(y,x,z+1/2)'
124.358      P4'/m'cc'                      P 4' 2c' -1'            (-y,x,z)';(x,y,-z)';(-x,y,z+1/2);(y,x,z+1/2)'
124.359      P4/m'c'c'                      P 4 2c -1'              (-y,x,z);(x,y,-z)';(-x,y,z+1/2)';(y,x,z+1/2)'
124.360      P4/mcc.1'_c[P4/mmm]            -P 4 2c 1'c             (-y,x,z);(x,y,-z);(-x,y,z+1/2);(y,x,z+1/2);(x,y,z+1/2)'
124.361      P4/mcc.1'_C[rP4/mcc]           -P 4 2c 1'C             (-y,x,z);(x,y,-z);(-x,y,z+1/2);(y,x,z+1/2);(x+1/2,y+1/2,z)'
124.362      P4/mcc.1'_I[I4/mcm]            -P 4 2c 1'I             (-y,x,z);(x,y,-z);(-x,y,z+1/2);(y,x,z+1/2);(x+1/2,y+1/2,z+1/2)'
